A204 	  	100 	76 	55 	52 	  	71
A205 	  	100 	75 	96 	62 	  	83
A206 	  	100 	69 	51 	68 	  	72
A207 	  	100 	58 	45 		  	51
A208 	  	100 	63 	57 	71 	  	73
A209 	  	88 	86 	39 		  	53
A210 	  	100 	78 	62 	66 	  	76
A211 	  	100 	79 	59 	33 	  	68
A212 	  	100 	56 	50 	58 	  	66
A213 	  	97 	70 	73 	93 	  	83
A214 	  	100 	65 	40 	62 	  	67
A215 	  	100 	86 	70 	75 	  	82
A216 	  	100 	90 	69 		  	65
A217 	  	100 	55 	74 	71 	  	75
A218 	  	100 	86 	62 	46 	  	73
A219 	  	88 	84 	69 	53 	  	73
A220 	  	97 	67 	65 	50 	  	69
A221 	  	100 	93 	87 	90 	  	93
A222 	  	100 	56 	60 	60 	  	69
A223 	  	100 	52 	36 	47 	  	59
A224 	  	100 	87 	70 	62 	  	79
A225 	  	100 	73 	60 	94 	  	82
A226 	  	100 	80 	63 	44 	  	72
A227 	  	97 	30 	13 	39 	  	44
A228 	  	100 	85 	85 	63 	  	83
A229 	  	100 	67 	72 	87 	  	81
A230 	  	100 	59 	68 	55 	  	70
A231 	  	100 	91 	85 	93 	  	92
A232 	  	100 	74 	72 	87 	  	83
A233 	  	88 	45 	47 	58 	  	60
A234 	  	100 	69 	59 	51 	  	70
A235 	  	100 	72 	77 	72 	  	80
A236 	  	100 	93 	97 	76 	  	91
A237 	  	100 	47 	72 	0 	  	55
A238 	  	100 	56 	78 	47 	  	70
A239 	  	100 	65 	66 	63 	  	73
A240 	  	100 	56 	56 		  	53
A241 	  	100 	79 	25 	58 	  	65
A242 	  	100 	60 	91 	82 	  	83
A243 	  	100 	61 	68 	30 	  	65
A244 	  	97 	56 	59 	33 	  	61
A245 	  	100 	82 	93 	77 	  	88
A246 	  	100 	71 	63 	51 	  	71
A247 	  	100 	78 	60 	80 	  	79
A248 	  	100 	78 	97 	95 	  	92
A249 	  	100 	76 	59 	67 	  	76
A250 	  	100 	66 	68 	60 	  	73
A251 	  	97 	43 	50 		  	48
A253 	  	100 	62 	0 	59 	  	55
A254 	  	0 				  	0
A255 	  	100 	88 	73 	78 	  	85
A256 	  	100 	70 	61 	71 	  	75
A257 	  	100 	83 	52 	69 	  	76
A258 	  	62 	49 	26 	47 	  	46
A259 	  	0 				  	0
A260 	  	94 	35 	10 	44 	  	46
A261 	  	97 	43 	30 	55 	  	56
A262 	  	100 	85 	65 	61 	  	78
A263 	  	97 	82 	69 	73 	  	80
A264 	  	100 	56 	60 	40 	  	64
A265 	  	100 	74 	60 	39 	  	68
A266 	  	97 	45 	30 	59 	  	58
A267 	  	97 	60 	61 	69 	  	71
A268 	  	100 	85 	83 	75 	  	86
A269 	  	100 	92 	89 	97 	  	94
A270 	  	100 	68 	59 	66 	  	73
A271 	  	100 	92 	97 	67 	  	89
A273 	  	100 	63 	47 	63 	  	68
A274 	  	100 	88 	97 	89 	  	93
A275 	  	100 	80 	96 	53 	  	82
A276 	  	100 	59 	52 	75 	  	71
A277 	  	100 	73 	81 	92 	  	86
A278 	  	97 	52 	59 	87 	  	74
A279 	  	100 	74 	77 	51 	  	75
A280 	  	97 	64 	53 	44 	  	64
A281 	  	50 	68 	30 	80 	  	57
A282 	  	100 	58 	57 	68 	  	71
A283 	  	91 	45 	62 	29 	  	57
A284 	  	100 	45 	51 	43 	  	60
A285 	  	97 	62 	63 	78 	  	75
A286 	  	100 	67 	93 	60 	  	80
A287 	  	100 	56 	62 	48 	  	66
A288 	  	100 	61 	63 	46 	  	68
A289 	  	100 	76 	97 	78 	  	88
